eventdate,series_name,episode_name,site_name,site_type,starts,siteTypeStarts,nameOfDay,startOfWeek
4/12/19,Blindspot,A Stray Howl,Dish Anywhere MVPD,MVPD,1757,1757,Friday,04/08/19
4/12/19,Blindspot,A Stray Howl,Bravo FireTV App,Watch,1741,1741,Friday,04/08/19
4/12/19,Blindspot,A Stray Howl,Bravo Samsung Smart TV App,Watch,1729,3470,Friday,04/08/19
4/12/19,Blindspot,A Stray Howl,Bravo Android Tablet Apps,Watch,1637,5107,Friday,04/08/19
4/12/19,Blindspot,A Stray Howl,Bravo Android TV App,Watch,1360,6467,Friday,04/08/19
4/12/19,Blindspot,A Stray Howl,Bravo Chromecast App,Watch,1148,7615,Friday,04/08/19
4/12/19,Blindspot,A Stray Howl,Bravo FEP,Watch,664,8279,Friday,04/08/19
4/12/19,Blindspot,A Stray Howl,Bravo Roku App,Watch,625,8904,Friday,04/08/19
4/12/19,Blindspot,A Stray Howl,Bravo iPad App,Watch,483,9387,Friday,04/08/19
4/12/19,Blindspot,A Stray Howl,Bravo Apple TV App,Watch,280,9667,Friday,04/08/19
4/12/19,Blindspot,A Stray Howl,Bravo iPhone App,Watch,262,9929,Friday,04/08/19
4/8/19,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1998,11927,Monday,04/08/19
4/8/19,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,1983,3740,Monday,04/08/19
4/7/19,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,1967,13894,Sunday,04/01/19
4/9/19,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1965,15859,Tuesday,04/08/19
4/3/19,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,1949,17808,Wednesday,04/01/19
4/10/19,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,1927,19735,Wednesday,04/08/19
3/31/19,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,1911,21646,Sunday,03/25/19
3/31/19,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,1898,5638,Sunday,03/25/19
3/30/19,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1886,23532,Saturday,03/25/19
3/30/19,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1864,25396,Saturday,03/25/19
4/4/19,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1835,27231,Thursday,04/01/19
3/30/19,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,1830,7468,Saturday,03/25/19
3/30/19,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1828,29059,Saturday,03/25/19
4/3/19,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,1814,9282,Wednesday,04/01/19
4/4/19,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1814,30873,Thursday,04/01/19
4/11/19,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,1801,1801,Thursday,04/08/19
4/6/19,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1799,32672,Saturday,04/01/19
3/31/19,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1797,34469,Sunday,03/25/19
4/6/19,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,1793,1793,Saturday,04/01/19
3/30/19,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,1785,3578,Saturday,03/25/19
3/30/19,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1783,36252,Saturday,03/25/19
4/4/19,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,1782,11064,Thursday,04/01/19
4/10/19,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,1775,5353,Wednesday,04/08/19
4/8/19,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1770,38022,Monday,04/08/19
4/12/19,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1770,39792,Friday,04/08/19
4/9/19,Blindspot,Eight Slim Grins,Sony Vue DMVPD,DMVPD,1766,3567,Tuesday,04/08/19
4/4/19,Blindspot,Eight Slim Grins,Sony Vue DMVPD,DMVPD,1763,5330,Thursday,04/01/19
4/5/19,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,1750,12814,Friday,04/01/19
3/29/19,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1748,41540,Friday,03/25/19
4/5/19,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,1746,43286,Friday,04/01/19
