group_id,l0,f3483f,eff6a,5992d,b6cc0,6570d,efc56,a45ca,"""6e692"""
0,1.85051849026304,,,,,,,,
1,,9.18573046432616,8.39135384508339,8.40288375434657,7.31270539024808,12.6862210095498,12.8333333333333,12.7323943661972,16.8571428571429
2,5.30071824131964,,,,,,,,
3,,8.26233891837557,9.07310344827586,9.16568914956012,6.70816836875642,10.8419497784343,10.8406909788868,10.947963800905,23.9832214765101
4,4.84354365055456,,,,,,,,
5,,9.03235294117647,6.65543332139615,4.34634022172644,9.17391304347826,10.484126984127,10.6993464052288,10.2391304347826,31.799504950495
6,6.13309534317905,,,,,,,,
7,,9.05762711864407,8.67450980392157,7.77358490566038,9.9460370994941,15.0629370629371,15.1794871794872,15.5994730840561,20.5585774058577
8,6.50502431730596,,,,,,,,
9,,6.63289392068972,7.1542764105814,9.28571428571429,20.5947368421053,21.1230949589683,18.5601659751037,13.6472007300234,24.8643445501119
10,5.47802684372686,,,,,,,,
11,,21.5181695827725,20.6089049338147,19.3802281368821,15.2599742599743,15.4701834862385,14.6231884057971,16.9404069767442,35.860103626943
12,4.91351674030598,,,,,,,,
13,,15.6194805194805,15.7281690140845,13.9719887955182,15.794830371567,17.1897289586305,17.8590785907859,15.890044576523,
14,5.06001266461853,,,,,,,,
15,,15.921568627451,15.1583434835566,15.1902017291066,13.9889807162534,16.4251655629139,13.4101314272849,18.1672597864769,
16,4.30285094578991,,,,,,,,
17,,13.0101156069364,13.7518987341772,13.7035490605428,11.1285714285714,12.8481131941354,16.4581618655693,,
18,4.5092713095723,,,,,,,,
19,,10.6573426573427,11.1467889908257,11.0787878787879,10.6138613861386,19.4682080924856,19.1350906095552,,
20,5.03934069400232,,,,,,,,
21,,10.6184210526316,10.5490196078431,10.8607888631091,12.9348837209302,,,,
22,4.94124350909827,,,,,,,,
23,,13.015037593985,12.0118343195266,12.7495881383855,,,,,
24,9.81787305583739,,,,,,,,
25,,17.6923076923077,,,,,,,
26,,,,,,,,,
27,,14.9418918918919,,,,,,,
28,,,,,,,,,
29,,16.5777777777778,,,,,,,
30,,,,,,,,,
31,,16.2667478684531,,,,,,,
32,,,,,,,,,
33,,16.4993581514763,,,,,,,
34,,,,,,,,,
35,,14.7348571428571,,,,,,,
36,,,,,,,,,
37,,18.4804381846635,,,,,,,
38,,,,,,,,,
39,,20.0171098241158,,,,,,,
